Wine,Cheese
Pinot Noir,Gruyere
Aged Port,Blue Stilton
Champagne,Brie
Moscato d’Asti,Gorgonzola
Tempranillo,Idiazabal
Sauvignon Blanc,Goat Cheese
Cabernet Sauvignon,Aged Cheddar
Provence Rosé,Havarti
Riesling,Raclette
Chianti Classico,Pecorino Toscano
Vermentino,Fiore Sardo
Malbec,Edam
